Zeit/s,U_AB (V),U_mano (V),U_sample (V),U_field (V),pressure_manometer/Pascal,temp_manometer/K
96.0,0.10532606,0.002581866,0.000178681,0.000165678,271.4078002313792,1.3930667448679583
97.0,0.10532029,0.002560311,0.000178765,0.000165221,269.1419215475174,1.3915429785272218
98.0,0.10532846,0.002560271,0.000178985,0.00016492,269.13771671581463,1.3915401415384978
99.001,0.10529862,0.002548064,0.000179037,0.000164432,267.8545072009039,1.3906727396614356
100.0,0.10528626,0.002533205,0.000178451,0.000164017,266.2925173440957,1.3896124961695753
101.0,0.1052828,0.002568884,0.000178807,0.000163613,270.04312210222616,1.392150218027449
102.0,0.10530195,0.002565619,0.000178587,0.000163499,269.6999027144828,1.3919191398661275
103.0,0.10529843,0.002546309,0.000178315,0.000163011,267.6700202099423,1.3905477662874381
104.0,0.10529564,0.002533327,0.00017843,0.000162388,266.30534208078933,1.3896212210919177
105.0,0.10527346,0.002563087,0.000178483,0.000162025,269.43373686769377,1.3917397809352992
106.0,0.10530906,0.002571232,0.000177886,0.000161797,270.2899457231822,1.3923162542276353
107.001,0.10528278,0.002562577,0.000178252,0.000160832,269.3801252634827,1.3917036373747547
108.0,0.10528518,0.002523244,0.000178168,0.000160925,265.24540912929876,1.3888990161880606
109.0,0.1052701,0.002565761,0.000177676,0.000160396,269.71482986702785,1.3919291946009926
110.0,0.10528012,0.002553433,0.000177478,0.000160095,268.4189007362161,1.3910546481097927
111.0,0.10529171,0.002546901,0.000178148,0.000159742,267.73225171914413,1.3905899300749474
112.0,0.10526748,0.002536715,0.000178001,0.000159369,266.6614913260189,1.3898633852914295
113.0,0.10525989,0.002550106,0.00017642,0.000158705,268.06916385933334,1.3908180655772342
114.0,0.10525019,0.002569333,0.000177027,0.000158674,270.09032133809046,1.3921819777343536
115.0,0.10524996,0.002558209,0.000175551,0.00015802,268.9209576415338,1.3913938478034318
116.0,0.10523742,0.002534205,0.000174902,0.000157605,266.3976381366664,1.3896840022350663
117.0,0.10523339,0.00254337,0.000174609,0.00015748,267.361070200577,1.3903383294469387
118.0,0.10522034,0.002566292,0.000173604,0.000156775,269.77064900788287,1.391966789789563
119.0,0.10523243,0.002561577,0.000172107,0.000156142,269.275004470912,1.3916327513185018
120.0,0.10524264,0.002539389,0.000171678,0.00015609,266.942584325353,1.3900543363319235
121.0,0.10522064,0.002549718,0.000168684,0.000155696,268.0283769918159,1.390790459234748
122.0,0.10522651,0.002558168,0.000166119,0.000155125,268.9166476890384,1.3913909380213527
123.0,0.10520679,0.002549718,0.00016257,0.000154762,268.0283769918159,1.390790459234748
124.0,0.10522183,0.002542982,0.000156383,0.000154305,267.32028333305954,1.3903106659372755
125.0,0.10523173,0.002531735,0.000143391,0.000153963,266.1379897790167,1.3895073421600368
126.0,0.1052316,0.002574273,0.000131184,0.000153517,270.6096180533898,1.3925311190509662
127.0,0.10524931,0.002571477,0.000124275,0.000153319,270.31570031736203,1.3923335722982677
128.0,0.10526314,0.002544594,0.000120506,0.000152676,267.48973805068357,1.3904255762149171
129.0,0.1052808,0.002539185,0.000114413,0.000152282,266.9211396836685,1.3900397741811268
130.0,0.10530828,0.00255278,0.000114037,0.000152126,268.3502568586674,1.3910082323870598
131.0,0.10530987,0.002554412,0.000102427,0.000151514,268.5218139921428,1.3911242187663435
132.0,0.10531308,0.002551473,9.5905e-05,0.000151089,268.2128639827775,1.3909153019637304
133.0,0.10533858,0.002529735,9.6072e-05,0.000150705,265.9277481938753,1.3893641987656278
134.0,0.10535858,0.002560761,9.581e-05,0.000150601,269.1892259041743,1.3915748922624864
135.0,0.10535776,0.00254886,8.9121e-05,0.000149895,267.9381833517902,1.3907294005527144
136.0,0.10536795,0.002547472,8.9435e-05,0.000149636,267.792275691702,1.390630590926666
137.0,0.10537123,0.002533878,8.9142e-05,0.00014921,266.3632636374957,1.3896606221804881
138.0,0.1053967,0.002559679,8.9194e-05,0.000148889,269.07548520661277,1.3914981500525947
139.0,0.10539445,0.002546656,8.3216e-05,0.0001481,267.70649712496436,1.3905724814642317
140.0,0.10543646,0.00254388,8.0662e-05,0.000148038,267.4146818047881,1.3903746862567383
141.0,0.10543079,0.00253894,8.0233e-05,0.00014755,266.89538508948874,1.390022284114144
142.0,0.10544936,0.002546697,8.0317e-05,0.000147249,267.7108070774598,1.390575401527281
143.0,0.10544244,0.002544962,8.0526e-05,0.000146699,267.5284225023496,1.3904518008518822
144.0,0.10546406,0.002541839,7.9961e-05,0.00014643,267.2001302671513,1.3902291534698203
145.0,0.10546631,0.002528959,8.0495e-05,0.000146035,265.84617445884044,1.389308635292234
146.001,0.10547446,0.002533735,7.9647e-05,0.000145465,266.34823136415815,1.3896503971335978
147.0,0.10546424,0.002544207,8.0023e-05,0.000145112,267.4490563039587,1.3903979943885876
148.0,0.10548772,0.002549554,8.0212e-05,0.000144676,268.0111371818343,1.390778789586734
149.0,0.10548676,0.002524958,8.0065e-05,0.000144302,265.42558616776495,1.3890219422045917
150.0,0.10550595,0.002526448,7.9856e-05,0.000144697,265.58221614869535,1.3891287501867917
151.0,0.10552668,0.00254588,8.0149e-05,0.000145195,267.6249233899295,1.3905172069950735
152.0,0.10554244,0.002556413,8.0484e-05,0.000145516,268.7321606980768,1.391266350951408
153.0,0.10553042,0.002534858,7.9825e-05,0.000145817,266.4662820142151,1.3897306837855958
154.0,0.10555476,0.002526224,8.0044e-05,0.000146357,265.5586690911596,1.3891126962953617
